Rank,Game,Release,genre1,genre2,genre3,Score
940,Cars 3: Driven to Win,13/06/2017,Racing,Multiplayer,Single-player,8.1
941,Super Robot Wars 30,28/10/2021,RPG,Simulation,Strategy,8.1
942,The Crew: Motorfest,14/09/2023,Open World,Racing,Multiplayer,8.0
943,SUPERHYPERCUBE,13/10/2016,Puzzle,Single-player,,8.0
944,Demon Gaze II,14/11/2017,RPG,JRPG,Single-player,8.0
945,Shadow Warrior,21/10/2014,Multiplayer,Single-player,First-Person Shooter,8.0
946,ONE PIECE: Unlimited World Red Deluxe Edition,25/08/2017,Action,Adventure,Anime,8.0
947,Rebel Galaxy Outlaw,22/09/2020,Action,Adventure,Single-player,8.0
948,GRID Legends,25/02/2022,Sports,Racing,Multiplayer,8.0
949,DEAD OR ALIVE 6,01/03/2019,Action,Fighting,Local Multiplayer,8.0
950,Resident Evil Code: Veronica X,09/05/2017,Horror,Survival,Zombie,8.0
951,The Fall,14/07/2015,Action,Adventure,Puzzle,8.0
952,Destiny 2: Shadowkeep,01/10/2019,Coop,Multiplayer,Online Co-op,8.0
953,BUTCHER,09/05/2017,Action,Platformer,Shoot 'em up,8.0
954,Budget Cuts,25/09/2020,Action,Adventure,Stealth,8.0
955,Madden NFL 18,25/08/2017,Sports,Multiplayer,Single-player,8.0
956,Project CARS,12/05/2015,Simulation,Racing,Multiplayer,8.0
957,Tom Clancy's Rainbow Six Siege,01/12/2015,Military Shooter,Multiplayer,Single-player,8.0
958,Death end re;Quest,19/02/2019,Action,RPG,JRPG,8.0
959,Persona 5: Dancing In Starlight,04/12/2018,Rhythm,Single-player,,8.0
960,Tempest 4000,17/07/2018,Action,Shoot 'em up,Single-player,8.0
961,DiRT Rally 2.0,26/02/2019,Simulation,Sports,Racing,8.0
962,Broken Sword 5 - the Serpent's Curse,08/09/2015,Adventure,Point & Click,Single-player,8.0
963,Yu-Gi-Oh! Legacy of the Duelist : Link Evolution,24/03/2020,Card,Puzzle,Simulation,8.0
964,Samurai Warriors 4-II,29/09/2015,Action,Hack and Slash,Multiplayer,8.0
965,Digimon Survive,29/07/2022,RPG,Strategy,JRPG,8.0
966,Hunt: Showdown,18/02/2020,Action,Coop,Multiplayer,8.0
967,Silence,15/11/2016,Action,Adventure,Single-player,8.0
968,RESIDENT EVIL REVELATIONS,29/08/2017,Action,Adventure,Horror,8.0
969,Dead Nation: Apocalypse Edition,04/03/2014,Shoot 'em up,Coop,Local-coop,8.0
970,Heavy Rain,01/03/2016,Action,Adventure,Single-player,8.0
971,Call of Duty: WWII,03/11/2017,Action,Military,Military Shooter,8.0
972,Assassin's Creed Rogue Remastered,20/03/2018,Action,Adventure,Single-player,8.0
973,Fortnite: Save the World,25/07/2017,Action,Battle Royale,Open World,8.0
974,Phantom Doctrine,14/08/2018,Action,RPG,Strategy,8.0
975,NHL 17,13/09/2016,Sports,Multiplayer,Single-player,8.0
976,MotoGP 20,23/04/2020,Simulation,Sports,Racing,8.0
977,Assassin's Creed Unity,11/11/2014,Action,Adventure,Open World,8.0
978,Star Wars: Republic Commando,06/04/2021,Local Multiplayer,Multiplayer,Single-player,8.0
979,EA Sports UFC 2,15/03/2016,Sports,Fighting,Multiplayer,8.0
980,Valkyrie Elysium,29/09/2022,Action,RPG,JRPG,8.0
981,Paladins,02/05/2017,Action,MOBA,Battle arena,8.0
982,Ancestors Legacy,13/08/2019,Strategy,Real-time strategy,Multiplayer,8.0
983,Titan Souls,14/04/2015,Action,Adventure,Open World,8.0
984,Star Wars Episode I: Racer,23/06/2020,Arcade,Racing,Single-player,8.0
985,Observation,21/05/2019,Adventure,Single-player,,8.0
986,CARRION,22/10/2021,Action,Adventure,Horror,8.0
987,Gauntlet: Slayer Edition,11/08/2015,Action,RPG,Hack and Slash,8.0
988,Call of Duty: Modern Warfare 2 Campaign Remastered,31/03/2020,Action,Multiplayer,Single-player,8.0
989,Star Trek: Bridge Crew,30/05/2017,Action,Adventure,Coop,8.0
990,Penarium,22/09/2015,Action,Platformer,Single-player,8.0
991,A Fisherman's Tale,22/01/2019,Adventure,Puzzle,Single-player,8.0
992,Maneater,22/05/2020,Action,Adventure,RPG,8.0
993,-KLAUS-,19/01/2016,Adventure,Puzzle,Platformer,8.0
1069,Dark Devotion,24/10/2019,Action,Adventure,RPG,7.9
994,Samurai Jack: Battle Through Time,21/08/2020,Action,Adventure,Platformer,8.0
995,Sword Art Online: Hollow Realization,08/11/2016,Action,RPG,JRPG,8.0
996,Touhou: Genso Wanderer,21/03/2017,RPG,JRPG,Roguelike,8.0
997,Broforce,01/03/2016,Action,Platformer,Shooter,8.0
998,void tRrLM(); //Void Terrarium,14/07/2020,RPG,Roguelike,Single-player,8.0
999,Portal Knights,23/05/2017,Action,Adventure,RPG,8.0
1000,Super Mega Baseball 3,13/05/2020,Simulation,Sports,Coop,8.0
1001,Gran Turismo Sport,17/10/2017,Sports,Racing,Esports,8.0
1002,Wonder Boy Asha in Monster World,28/05/2021,Action,Platformer,Single-player,8.0
1003,Labyrinth of Refrain: Coven of Dusk,18/09/2018,RPG,Strategy,Single-player,8.0
1004,"Warhammer 40,000: Mechanicus",17/07/2020,Action,Strategy,Single-player,8.0
1005,The Liar Princess and the Blind Prince,12/02/2019,Action,Adventure,Single-player,8.0
1006,Evolve,10/02/2015,Coop,Multiplayer,Online Co-op,8.0
1007,Lost Ember,22/11/2019,Action,Adventure,Single-player,8.0
1008,Fighting EX Layer,28/06/2018,Action,Fighting,Local Multiplayer,8.0
1009,Far Cry New Dawn,15/02/2019,Action,Adventure,Open World,8.0
1010,STAR OCEAN THE DIVINE FORCE,27/10/2022,Action,RPG,JRPG,8.0
1011,WRC 8 FIA World Rally Championship,10/09/2019,Simulation,Sports,Racing,8.0
1012,The LEGO Ninjago Movie Video Game,22/09/2017,Action,Adventure,Coop,8.0
1013,The Shapeshifting Detective,06/11/2018,Adventure,RPG,Single-player,8.0
1014,Telling Lies,28/04/2020,Adventure,Simulation,Single-player,8.0
1015,Life Goes On: Done to Death,17/05/2016,Action,Adventure,Platformer,8.0
1016,A King's Tale: Final Fantasy XV,01/03/2017,Action,RPG,JRPG,8.0
1017,Mad Rat Dead,30/10/2020,Action,Single-player,,8.0
1018,Sundered,28/07/2017,Action,Adventure,Horror,8.0
1019,Dragon Ball Xenoverse,24/02/2015,RPG,Fighting,Anime,8.0
1020,SAMURAI WARRIORS: Spirit of Sanada,23/05/2017,Action,Hack and Slash,Single-player,8.0
1021,FIFA 20,27/09/2019,Simulation,Sports,Multiplayer,8.0
1022,Remothered: Tormented Fathers,25/07/2018,Action,Adventure,Horror,8.0
1023,Ghostbusters: The Video Game Remastered,04/10/2019,Action,Adventure,Multiplayer,8.0
1024,Strider,18/02/2014,Adventure,Hack and Slash,Metroidvania,8.0
1025,Red Faction: Guerrilla Re-Mars-tered,03/07/2018,Action,Open World,Multiplayer,8.0
1026,Mother Russia Bleeds,03/12/2016,Action,Arcade,Fighting,8.0
1027,Fairy Fencer F: Advent Dark Force,26/07/2016,RPG,JRPG,Single-player,8.0
1028,Song of the Deep,12/07/2016,Metroidvania,Single-player,,8.0
1029,The Fall Part 2: Unbound,13/02/2018,Action,Adventure,Platformer,8.0
1030,The Escapists,02/06/2015,Puzzle,RPG,Strategy,8.0
1031,Minecraft Dungeons,26/05/2020,Action,Adventure,Roguelike,8.0
1032,Onrush,05/06/2018,Action,Racing,Multiplayer,8.0
1033,LEGO The Hobbit,08/04/2014,Action,Adventure,Coop,8.0
1034,My Hero One's Justice 2,13/03/2020,Action,Fighting,Anime,8.0
1035,Tembo the Badass Elephant,21/07/2015,Action,Platformer,Single-player,8.0
1036,Resident Evil: Revelations 2,18/03/2015,Action,Horror,Survival,8.0
1037,Wattam,17/12/2019,Adventure,Casual,Coop,8.0
1038,Deception IV: The Nightmare Princess,14/07/2015,Action,RPG,Strategy,8.0
1039,Jotun: Vallhalla Edition,09/09/2016,Action,Adventure,Single-player,8.0
1040,Leo's Fortune,08/09/2015,Puzzle,Single-player,,8.0
1041,The Legend of Heroes: Trails of Cold Steel IV,27/10/2020,RPG,JRPG,Single-player,8.0
1042,Oddworld: Soulstorm,06/04/2021,Action,Adventure,Platformer,8.0
1043,Concrete Genie,08/10/2019,Action,Adventure,Single-player,8.0
1044,Zombie Army 4: Dead War,04/02/2020,Action,Adventure,Horror,8.0
1045,Fe,16/02/2018,Action,Adventure,,8.0
1046,Spintires: Mudrunner - American Wilds Edition,23/10/2018,Simulation,Open World,Coop,8.0
1047,Battle Axe,29/04/2021,Action,Adventure,Arcade,8.0
1048,Vampire: The Masquerade - Shadows of New York,10/09/2020,Action,RPG,Horror,8.0
1049,Xuan-Yuan Sword VII,30/09/2021,Action,Adventure,RPG,8.0
1050,IRON CRYPTICLE,11/07/2017,Action,Shoot 'em up,Coop,7.9
1051,Battlefield Hardline,17/03/2015,Military,Military Shooter,Multiplayer,7.9
1052,Inertial Drift,11/09/2020,Arcade,Casual,Sports,7.9
1053,Death end re;Quest 2,25/08/2020,Action,RPG,JRPG,7.9
1054,Danganronpa Another Episode: Ultra Despair Girls,27/06/2017,Action,Adventure,Single-player,7.9
1055,Raw Data,10/10/2017,Action,Strategy,Multiplayer,7.9
1056,Samurai Warriors 4: Empires,15/03/2016,Action,Hack and Slash,Multiplayer,7.9
1057,Beyond Blue,11/06/2020,Adventure,Simulation,Single-player,7.9
1058,PixelJunk Monsters 2,25/05/2018,Action,MMO,Coop,7.9
1059,Afterparty,29/10/2019,Adventure,Point & Click,Single-player,7.9
1060,Nitroplus Blasterz: Heroines Infinite Duel,02/02/2016,Fighting,Multiplayer,Single-player,7.9
1061,A Boy and His Blob,19/01/2016,Puzzle,Platformer,Single-player,7.9
1062,Chronicles of Teddy: Harmony of Exidus,29/03/2016,Adventure,Metroidvania,Platformer,7.9
1063,Psychonauts in the Rhombus of Ruin,21/02/2017,Adventure,Puzzle,Platformer,7.9
1064,Stories: The Path of Destinies,12/04/2016,Action,RPG,Single-player,7.9
1065,Earth Defense Force 4.1: The Shadow of New Despair,08/12/2015,Coop,Local-coop,Multiplayer,7.9
1066,Starlink: Battle for Atlas,16/10/2018,Action,Adventure,Open World,7.9
1067,World War Z - GOTY Edition,05/05/2020,Action,RPG,Shooter,7.9
1068,HITMAN 2,13/11/2018,Action,Stealth,Coop,7.9
1070,Neverwinter,19/07/2016,MMO,MMORPG,RPG,7.9
1071,Grand Kingdom,21/06/2016,RPG,JRPG,Single-player,7.9
1072,Lego Marvel Avengers,26/01/2016,Action,Adventure,Multiplayer,7.9
1073,TRON RUN/r,16/02/2016,Action,Racing,Single-player,7.9
1074,LEGO Marvel Super Heroes 2,14/11/2017,Action,Adventure,Coop,7.9
1075,Cyberdimension Neptunia: 4 Goddesses Online,10/10/2017,Action,RPG,Multiplayer,7.9
1076,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,25/03/2014,Action,Hack and Slash,Coop,7.9
1077,Rock Band 4,06/10/2015,Rhythm,Coop,Local-coop,7.9
1078,The 25th Ward: The Silver Case,13/03/2018,Adventure,Single-player,,7.9
1079,The Dark Pictures Anthology: Little Hope,30/10/2020,Action,Adventure,Horror,7.9
1080,Madden NFL 25,15/11/2013,Sports,Multiplayer,Single-player,7.9
1081,Fate/Extella: The Umbral Star,17/01/2017,Action,Single-player,,7.9
1082,Stranger of Paradise: Final Fantasy Origin,18/03/2022,Action,Adventure,RPG,7.9
1083,Raiden V: Director's Cut,10/10/2017,Action,Shoot 'em up,Coop,7.9
1084,The Elder Scrolls Online: Greymoor,09/06/2020,Action,RPG,Open World,7.9
1085,EA SPORTS FIFA 21,09/10/2020,Simulation,Sports,Multiplayer,7.9
1086,Torment: Tides of Numenera,28/02/2017,Adventure,RPG,Strategy,7.9
1087,OXENFREE II: Lost Signals,12/07/2023,Adventure,Simulation,Horror,7.9
1088,Never Alone,18/11/2014,Puzzle,Platformer,Coop,7.9
1089,Sheltered,15/03/2016,Adventure,Simulation,Strategy,7.9
1090,NBA Live 19,07/09/2018,Simulation,Sports,Multiplayer,7.9
1091,Cities: Skylines - PlayStation 4 Edition,15/08/2017,Simulation,Strategy,City Building,7.9
1092,Actraiser Renaissance,24/09/2021,Action,RPG,Simulation,7.9
1093,The Flame in the Flood: Complete Edition,17/01/2017,Roguelike,Survival,Single-player,7.9
1094,Transference,18/09/2018,Adventure,Single-player,,7.9
1095,Call of Duty: Modern Warfare,24/10/2019,Action,Military Shooter,Coop,7.9
1096,Fatal Frame: Maiden of Black Water,28/10/2021,Action,Adventure,Horror,7.9
1097,GRIP: Combat Racing,06/11/2018,Action,Racing,Local Multiplayer,7.9
1098,Little Red Lie,09/01/2018,Adventure,RPG,Visual novel,7.9
1099,Sword Art Online Re: Hollow Fragment,28/07/2015,RPG,JRPG,Anime,7.9
1100,Grow Up,16/08/2016,Adventure,Platformer,Single-player,7.9
1101,Atelier Sophie: The Alchemist of the Mysterious Book,07/06/2016,RPG,JRPG,Single-player,7.9
1102,OK K.O.! Let's Play Heroes,23/01/2018,Action,Adventure,Beat 'em up,7.9
1103,Sky Force Anniversary,06/09/2016,Action,Shoot 'em up,Coop,7.9
1104,Deracine,06/11/2018,Adventure,Single-player,,7.9
1105,Cris Tales,20/07/2021,Action,Adventure,RPG,7.9
1106,9 Monkeys of Shaolin,16/10/2020,Action,Adventure,Beat 'em up,7.9
1107,Dreamfall Chapters,12/05/2017,Adventure,Single-player,,7.9
1108,The Jackbox Party Pack 5,16/10/2018,Party,Puzzle,Coop,7.9
1109,Utawarerumono: Mask of Deception,23/05/2017,Adventure,RPG,JRPG,7.9
1110,Dead Synchronicity: Tomorrow Comes Today,04/10/2016,Adventure,Single-player,,7.9
1111,Lara Croft and the Temple of Osiris,09/12/2014,Action,Adventure,Coop,7.9
1112,Blackwood Crossing,04/04/2017,Adventure,Single-player,,7.9
1113,Fallout Shelter,10/06/2018,Simulation,Offline,Single-player,7.9
1114,Shadows: Awakening,04/09/2018,Action,RPG,Single-player,7.9
1115,Pumpkin Jack,24/02/2021,Action,Adventure,Casual,7.9
1116,Octodad: Dadliest Catch,22/04/2014,Adventure,Single-player,,7.9
1117,Knack 2,05/09/2017,Action,Platformer,Coop,7.9
1118,Stranger Things 3: The Game,04/07/2019,Action,Adventure,Coop,7.9
1119,KILL la KILL - IF,26/07/2019,Fighting,Anime,Local Multiplayer,7.9
1120,Sword Art Online: Fatal Bullet,23/02/2018,Action,RPG,Anime,7.9
1121,Tales of Symphonia Remastered,17/02/2023,Action,RPG,JRPG,7.9
1122,My Hero One's Justice,26/10/2018,Fighting,Anime,Local Multiplayer,7.9
1123,Root Letter: Last Answer,03/09/2019,Adventure,Visual novel,Single-player,7.9
1124,The Wizards - Enhanced Edition,12/03/2019,Action,Adventure,Single-player,7.9
1125,ONINAKI,22/08/2019,Action,RPG,JRPG,7.9
1126,Q.U.B.E: Director's Cut,21/07/2015,Adventure,Puzzle,Single-player,7.9
1127,Street Fighter V,16/02/2016,Fighting,Multiplayer,Single-player,7.9
1128,Job Simulator,13/10/2016,Simulation,Single-player,,7.9
1129,Killing Floor: Incursion,01/05/2018,Action,Horror,Survival,7.9
1130,Cloudpunk,15/10/2020,Action,Adventure,RPG,7.9
1131,Farming Simulator 17,25/10/2016,Simulation,Open World,Coop,7.9
1132,Sportsfriends,06/05/2014,Action,Party,Coop,7.9
1133,Farming Simulator 22,22/11/2021,Simulation,Open World,Coop,7.9
1134,Tools Up!,03/12/2019,Arcade,Casual,Party,7.9
1135,Magicka 2,26/05/2015,Action,Adventure,Arcade,7.9
1136,Star Wars Jedi Knight: Jedi Academy,26/03/2020,Action,Hack and Slash,Multiplayer,7.9
1137,The Callisto Protocol,02/12/2022,Action,Adventure,Horror,7.9
1138,RIVE,13/09/2016,Platformer,Shoot 'em up,Single-player,7.9
1139,Forager,30/07/2019,Action,Adventure,Simulation,7.9
1140,Genesis Alpha One,29/01/2019,Action,Adventure,Roguelike,7.9
1141,Lapis x Labyrinth,28/05/2019,Action,RPG,Single-player,7.9
1142,Call of Duty: Ghosts,15/11/2013,Military,Military Shooter,Coop,7.9
1143,Surviving Mars,15/03/2018,Simulation,Strategy,Single-player,7.9
1144,The Dark Pictures Anthology: Man of Medan,30/08/2019,Action,Adventure,Horror,7.9
1298,Zen Pinball 2,24/12/2013,Action,Strategy,Multiplayer,7.7
1145,Agatha Christie - Hercule Poirot: The First Cases,05/10/2021,Adventure,Puzzle,Point & Click,7.9
1146,Operencia: The Stolen Sun,31/03/2020,Puzzle,RPG,Dungeon Crawler,7.9
1147,Riddled Corpses EX,05/06/2018,Action,Adventure,RPG,7.9
1148,Dead Rising 4: Frank's Big Package,05/12/2017,Action,Adventure,Single-player,7.9
1149,Spellbreak,26/06/2020,Action,RPG,Multiplayer,7.9
1150,Dead or Alive 5: Last Round,17/02/2015,Fighting,Multiplayer,Single-player,7.9
1151,The LEGO Movie Videogame,07/02/2014,Action,Adventure,Coop,7.9
1152,Teslagrad,14/04/2015,Puzzle,Metroidvania,Platformer,7.9
1153,Madden NFL 20,02/08/2019,Sports,Local Multiplayer,Multiplayer,7.9
1154,Screencheat,01/03/2016,Coop,Local Multiplayer,Local-coop,7.9
1155,Until Dawn: Rush of Blood,13/10/2016,Action,Horror,Survival,7.9
1156,Mulaka,27/02/2018,Action,Adventure,Single-player,7.9
1157,Ghostbusters: Spirits Unleashed,18/10/2022,Action,Adventure,Coop,7.9
1158,They Are Billions,09/07/2019,Strategy,Real-time strategy,Survival,7.9
1159,Wild Guns: Reloaded,20/12/2016,Action,Platformer,Coop,7.9
1160,For Honor,14/02/2017,Action,Fighting,Hack and Slash,7.9
1161,Wasteland 2: Director's Cut,13/10/2015,Adventure,RPG,Strategy,7.9
1162,Evasion,09/10/2018,Action,Adventure,Coop,7.9
1163,Unmechanical: Extended,10/02/2015,Puzzle,Single-player,,7.9
1164,Conception PLUS: Maidens of the Twelve Stars,05/11/2019,RPG,JRPG,Single-player,7.9
1165,Battleborn,03/05/2016,Coop,Local-coop,Multiplayer,7.9
1166,Chocobo's Mystery Dungeon EVERY BUDDY,20/03/2019,Action,RPG,JRPG,7.9
1167,Final Fantasy Type-0 HD,17/05/2015,Action,RPG,JRPG,7.8
1168,ToeJam & Earl: Back in the Groove,01/03/2019,Action,Platformer,Roguelike,7.8
1169,Shikhondo: Soul Eater,28/08/2018,Action,Shoot 'em up,Coop,7.8
1170,Travis Strikes Again: No More Heroes Complete Edition,17/10/2019,Action,Hack and Slash,Coop,7.8
1171,Tropico 5,28/04/2015,Simulation,Strategy,City Building,7.8
1172,LEGO The Incredibles,15/06/2018,Action,Adventure,Coop,7.8
1173,Coffee Talk,28/01/2020,Adventure,Casual,Simulation,7.8
1174,de Blob,14/11/2017,Puzzle,Platformer,Multiplayer,7.8
1175,Wo Long: Fallen Dynasty,03/03/2023,Action,RPG,Hack and Slash,7.8
1176,The Swords of Ditto,24/04/2018,Action,Adventure,RPG,7.8
1177,Typoman,21/02/2017,Adventure,Puzzle,Platformer,7.8
1178,DriveClub,07/10/2014,Racing,Multiplayer,Single-player,7.8
1179,The Blackout Club,30/07/2019,Action,Simulation,Coop,7.8
1180,GORN,19/05/2020,Action,Local Multiplayer,Multiplayer,7.8
1181,Atomic Heart,21/02/2023,Shooter,Single-player,First-Person Shooter,7.8
1182,Mirror's Edge Catalyst,07/06/2016,Action,Adventure,Open World,7.8
1183,Cladun Returns: This Is Sengoku!,06/06/2017,Action,RPG,Multiplayer,7.8
1184,WWE 2K16,27/10/2015,Sports,Fighting,Multiplayer,7.8
1185,NBA Live 18,15/09/2017,Sports,Multiplayer,Single-player,7.8
1186,Apotheon,03/02/2015,Action,Adventure,RPG,7.8
1187,PLANET ALPHA,04/09/2018,Action,Adventure,Platformer,7.8
1188,Batman: The Enemy Within - The Telltale Series,08/08/2017,Adventure,Point & Click,Single-player,7.8
1189,Songbringer,05/09/2017,Action,Adventure,RPG,7.8
1190,Green Hell,09/06/2021,Simulation,Survival,Coop,7.8
1191,DOOM 3: VR Edition,29/03/2021,Action,Horror,Shooter,7.8
1192,The Smurfs: Mission Vileaf,16/11/2021,Action,Adventure,Single-player,7.8
1193,Styx: Shards of Darkness,14/03/2017,Action,Coop,Online Co-op,7.8
1194,eFootball PES 2021,15/09/2020,Sports,Coop,Local Multiplayer,7.8
1195,Borderlands 2 VR,14/12/2018,Action,RPG,Single-player,7.8
1196,Chasm,31/07/2018,Action,Adventure,RPG,7.8
1197,Battlezone Gold Edition,13/10/2016,Action,Multiplayer,Single-player,7.8
1198,Amazing Discoveries In Outer Space,02/02/2016,Adventure,Open World,Platformer,7.8
1199,Fall Guys,04/08/2020,Platformer,Multiplayer,Online Multiplayer,7.8
1200,Summon Night 6: Lost Borders,31/10/2017,RPG,Strategy,JRPG,7.8
1201,Bad North,28/08/2018,Action,Adventure,Strategy,7.8
1202,Assassin's Creed Mirage,05/10/2023,Action,Adventure,Open World,7.8
1203,Killzone: Shadow Fall,15/11/2013,Coop,Multiplayer,Online Co-op,7.8
1204,The Mage's Tale,05/02/2019,RPG,Roguelike,Single-player,7.8
1205,Atelier Firis: The Alchemist and the Mysterious Journey,07/03/2017,RPG,JRPG,Single-player,7.8
1206,Nickelodeon All-Star Brawl,05/10/2021,Action,Fighting,Multiplayer,7.8
1207,NBA 2K20,06/09/2019,Action,Sports,Multiplayer,7.8
1208,Guitar Hero Live,20/10/2015,Rhythm,Multiplayer,Single-player,7.8
1209,The Pinball Arcade,10/12/2013,Arcade,Simulation,Pinball,7.8
1210,Hard Reset Redux,03/06/2016,Single-player,First-Person Shooter,,7.8
1211,Cricket 19,29/05/2019,Sports,Coop,Local Multiplayer,7.8
1212,Touhou Genso Wanderer Reloaded,17/07/2018,Adventure,RPG,Roguelike,7.8
1213,Wayward Sky,10/10/2016,Adventure,Puzzle,Single-player,7.8
1214,LEGO Worlds,07/03/2017,Open World,Coop,Local-coop,7.8
1215,Dariusburst: Another Chronicle Ex+,27/07/2021,Action,Shoot 'em up,Local-coop,7.8
1216,The Bard's Tale IV: Director's Cut,27/08/2019,RPG,Single-player,,7.8
1217,Battlestar Galactica Deadlock,08/12/2017,Strategy,Multiplayer,Single-player,7.8
1218,Rogue Company,30/09/2020,Action,Strategy,Shooter,7.8
1219,Project CARS 2,22/09/2017,Simulation,Racing,Multiplayer,7.8
1220,"Invisible, Inc. Console Edition",19/04/2016,Strategy,Roguelike,Stealth,7.8
1221,JoJo's Bizarre Adventure: Eyes of Heaven,28/06/2016,Fighting,Anime,Multiplayer,7.8
1222,Berserk and the Band of the Hawk,21/02/2017,Action,RPG,Hack and Slash,7.8
1223,Monster Truck Championship,20/10/2020,Action,Simulation,Sports,7.8
1224,Mortal Shell,18/08/2020,Action,RPG,Single-player,7.8
1225,Gundam Versus,29/09/2017,Fighting,Anime,Multiplayer,7.8
1226,Mass Effect: Andromeda,21/03/2017,RPG,Open World,Coop,7.8
1227,Guns of Icarus Alliance,01/05/2018,Action,Adventure,Simulation,7.8
1228,Call of Duty: Black Ops Cold War,13/11/2020,Coop,Local-coop,Multiplayer,7.8
1229,Sea of Solitude,05/07/2019,Adventure,Single-player,,7.8
1230,Dead Island Definitive Edition,31/05/2016,Action,RPG,Horror,7.8
1231,Deep Sky Derelicts: Definitive Edition,24/03/2020,Strategy,Single-player,,7.8
1232,Chorus,03/12/2021,Action,Adventure,Racing,7.8
1233,Call of Duty: Infinite Warfare,04/11/2016,Military Shooter,Coop,Local-coop,7.8
1234,Shing!,27/08/2020,Action,Adventure,Arcade,7.8
1235,Heart&Slash,28/06/2016,Action,Adventure,Hack and Slash,7.8
1236,Pillars of Eternity II: Deadfire - Ultimate Edition,28/01/2020,RPG,Single-player,,7.8
1237,DC Universe Online,15/11/2013,Action,Adventure,MMO,7.8
1238,Aggelos,12/07/2019,Adventure,RPG,Single-player,7.8
1239,Valley,23/08/2016,Action,Adventure,Puzzle,7.8
1240,Not a Hero,02/02/2016,Single-player,Third-Person Shooter,,7.8
1241,Dex,12/07/2016,Action,RPG,Open World,7.8
1242,EA Sports UFC,17/06/2014,Sports,Fighting,Multiplayer,7.8
1243,Pier Solar and the Great Architects,30/09/2014,RPG,Single-player,,7.8
1244,Space Hulk: Tactics,09/10/2018,Strategy,Multiplayer,Online Multiplayer,7.8
1245,Space Crew: Legendary Edition,15/10/2020,Action,Simulation,Strategy,7.8
1246,Shining Resonance Refrain,10/07/2018,Action,Adventure,RPG,7.8
1247,Hitman Intro Pack,11/03/2016,Stealth,Single-player,,7.8
1248,Eagle Flight,08/11/2016,Simulation,Open World,Racing,7.8
1249,Star Wars: Battlefront II,17/11/2017,Action,Coop,Local-coop,7.8
1250,Accel World VS Sword Art Online: Millennium Twilight,07/07/2017,Action,RPG,Anime,7.8
1251,EA SPORTS NHL 19,14/09/2018,Sports,Online Multiplayer,Single-player,7.8
1252,Virtua Fighter 5: Ultimate Showdown,01/06/2021,Action,Fighting,Anime,7.8
1253,Republique,22/03/2016,Action,Adventure,Single-player,7.8
1254,State of Mind,15/08/2018,Action,Adventure,Single-player,7.8
1255,Everybody's Golf VR,21/05/2019,Sports,Single-player,,7.8
1256,Stealth Inc 2: A Game of Clones,07/04/2015,Action,Adventure,Platformer,7.8
1257,PixelJunk VR Dead Hungry,07/11/2017,Action,Zombie,Single-player,7.8
1258,Kona,23/03/2017,Adventure,Single-player,,7.8
1259,Need for Speed,03/11/2015,Racing,Multiplayer,Single-player,7.8
1260,GRID,11/10/2019,Sports,Racing,Multiplayer,7.8
1261,White Day: A Labyrinth Named School,29/08/2017,Action,Adventure,Horror,7.8
1262,The Caligula Effect 2,19/10/2021,RPG,JRPG,Single-player,7.8
1263,Digimon World: Next Order,31/01/2017,RPG,JRPG,Open World,7.8
1264,Ironcast,01/03/2016,Strategy,Roguelike,Single-player,7.8
1265,Seasons after Fall,16/05/2017,Adventure,Puzzle,Single-player,7.8
1266,Absolver,29/08/2017,Action,RPG,Open World,7.8
1267,198X,16/07/2019,Action,Arcade,RPG,7.8
1268,Horizon Chase Turbo,15/05/2018,Action,Sports,Racing,7.8
1269,Batman: Arkham VR,11/10/2016,Action,Adventure,Stealth,7.8
1270,Slender: The Arrival,24/03/2015,Action,Adventure,Horror,7.8
1271,Sparkle 2,20/05/2014,Action,Adventure,Single-player,7.8
1272,Battlefield V,20/11/2018,Battle Royale,Military Shooter,Coop,7.8
1273,Letter Quest Remastered,17/05/2016,Puzzle,RPG,Word & Trivia,7.8
1274,One Piece Odyssey,13/01/2023,RPG,Anime,Single-player,7.8
1275,NASCAR Heat 4,13/09/2019,Sports,Racing,Multiplayer,7.8
1276,Xeodrifter,01/09/2015,Action,Adventure,Metroidvania,7.8
1277,Creed: Rise to Glory,25/09/2018,Action,Simulation,Sports,7.8
1278,Dead or School,13/03/2020,Action,RPG,Single-player,7.8
1279,Phoenix Point: Behemoth Edition,01/10/2021,Strategy,Turn-based strategy,Single-player,7.7
1280,Kerbal Space Program,12/07/2016,Simulation,Single-player,,7.7
1281,Warframe,15/11/2013,Action,RPG,Coop,7.7
1282,WARRIORS OROCHI 4 Ultimate,14/02/2020,Action,Hack and Slash,Multiplayer,7.7
1283,Ghostrunner,27/10/2020,Action,Adventure,Fighting,7.7
1284,Monster Energy Supercross - The Official Videogame 3,04/02/2020,Sports,Racing,Multiplayer,7.7
1285,Tom Clancy's Rainbow Six Extraction,20/01/2022,Action,Zombie,Coop,7.7
1286,Alex Kidd in Miracle World DX,29/06/2021,Action,Adventure,Platformer,7.7
1287,Saints Row: Gat out of Hell,20/01/2015,Action,Adventure,Open World,7.7
1288,Stikbold! A Dodgeball Adventure,05/04/2016,Action,Party,Sports,7.7
1289,American Fugitive,21/05/2019,Action,Adventure,Open World,7.7
